City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,coquimbo,-29.9533,-71.3436,13.850000000000023,86,75,4.63,CL,1718578914
67,buba,11.5833,-15.0,26.82000000000005,83,85,2.45,GW,1718578914
68,pagar alam,-4.0167,103.2667,19.700000000000045,97,87,0.94,ID,1718578915
69,cidade velha,14.9167,-23.6167,24.260000000000048,78,75,6.69,CV,1718578915
70,tolanaro,-25.0319,46.9987,19.04000000000002,94,75,1.03,MG,1718578916
71,grytviken,-54.2811,-36.5092,-3.9899999999999523,82,69,4.82,GS,1718578916
72,vuktyl,63.8567,57.3094,8.390000000000043,96,30,2.24,RU,1718578916
73,bilibino,68.0546,166.4372,20.890000000000043,33,50,1.92,RU,1718578916
74,st. john's,47.5649,-52.7093,14.600000000000023,95,100,0.0,CA,1718578649
75,tsagan aman,47.5639,46.7218,22.450000000000045,72,55,2.54,RU,1718578917
76,hermanus,-34.4187,19.2345,14.890000000000043,51,0,4.26,ZA,1718578917
77,manay,7.215,126.5397,26.5,77,100,0.84,PH,1718578918
78,gizo,-8.103,156.8419,28.0,77,47,4.38,SB,1718578918
79,mukalla,14.5425,49.1242,29.28000000000003,76,44,1.97,YE,1718578919
80,porto novo,6.4965,2.6036,25.439999999999998,86,94,2.09,BJ,1718578920
81,koratla,18.8167,78.7167,25.610000000000014,85,83,3.35,IN,1718578920
82,new norfolk,-42.7826,147.0587,8.730000000000018,89,99,0.94,AU,1718578920
83,nyurba,63.2842,118.3319,8.200000000000045,71,21,2.19,RU,1718578922
84,idri,27.5,13.2667,32.460000000000036,20,0,4.54,LY,1718578922
85,ta`u,-14.2336,-169.5144,27.360000000000014,80,47,8.04,AS,1718578923
86,blackmans bay,-43.0167,147.3167,8.07000000000005,83,100,3.69,AU,1718578923
87,vievis,54.7667,24.8,16.879999999999995,93,7,1.47,LT,1718578923
88,waingapu,-9.6567,120.2641,24.150000000000034,84,58,3.19,ID,1718578924
89,inhambane,-23.865,35.3833,19.430000000000007,69,68,2.74,MZ,1718578924
90,sisimiut,66.9395,-53.6735,6.57000000000005,92,100,2.82,GL,1718578925
91,port elizabeth,-33.918,25.5701,14.160000000000025,88,0,2.57,ZA,1718578925
92,maracaju,-21.6144,-55.1683,25.28000000000003,40,39,2.44,BR,1718578712
93,yarmouth,41.7057,-70.2286,19.980000000000018,60,0,2.57,US,1718578901
94,vorgashor,67.5833,63.95,6.560000000000002,74,87,1.14,RU,1718578926
95,aasiaat,68.7098,-52.8699,2.900000000000034,88,70,2.13,GL,1718578926
96,petropavlovsk-kamchatsky,53.0452,158.6483,8.330000000000041,89,75,4.0,RU,1718578926
97,punta del este,-34.9667,-54.95,13.82000000000005,85,0,3.6,UY,1718578922
98,jalqani,12.4486,34.2186,27.620000000000005,64,100,4.65,SD,1718578927
99,invercargill,-46.4,168.35,6.680000000000007,98,71,0.94,NZ,1718578927
100,miyazu,35.5333,135.1833,21.390000000000043,79,49,1.52,JP,1718578928
101,qarazhal,48.0078,70.7903,21.07000000000005,50,10,2.74,KZ,1718578928
102,pokhara,28.2333,83.9833,23.83000000000004,52,48,1.84,NP,1718578928
103,magong,23.5654,119.5863,27.99000000000001,88,100,7.04,TW,1718578928
104,kalianget,-7.05,113.9333,26.54000000000002,84,41,5.4,ID,1718578929
105,guiuan,11.0333,125.7247,29.230000000000018,73,92,4.62,PH,1718578819
106,hamilton,39.1834,-84.5333,33.670000000000016,44,0,2.57,US,1718578634
107,la passe,45.5549,-0.8967,17.129999999999995,96,100,5.33,FR,1718578930
108,akureyri,65.6835,-18.0878,6.960000000000036,87,20,3.6,IS,1718578930
109,keffi,8.8486,7.8736,22.25,96,73,1.34,NG,1718578931
110,solaro,44.8799,9.1732,15.900000000000034,89,15,2.59,IT,1718578931
111,saposoa,-6.934,-76.7716,23.28000000000003,96,79,1.29,PE,1718578751
112,margaret river,-33.95,115.0667,14.240000000000009,70,100,2.28,AU,1718578932
113,mugia,43.1041,-9.2179,17.730000000000018,96,100,7.19,ES,1718578932
114,repatriacion,-25.5333,-55.95,20.810000000000002,98,98,1.31,PY,1718578932
115,pailin,12.849,102.6093,24.24000000000001,96,99,2.1,KH,1718578933
116,amarante do maranhao,-5.5667,-46.7422,27.200000000000045,51,99,1.16,BR,1718578933
117,utrik,11.2278,169.8474,28.210000000000036,79,91,8.02,MH,1718578933
118,yellowknife,62.456,-114.3525,10.79000000000002,51,75,10.29,CA,1718578808
119,codrington,-38.2667,141.9667,11.410000000000025,66,100,3.86,AU,1718578934
120,isafjordur,66.0755,-23.124,7.9500000000000455,76,100,1.34,IS,1718578934
121,aykhal,66.0,111.5,8.480000000000018,60,100,4.67,RU,1718578934
122,ushibukamachi,32.1906,130.0228,22.689999999999998,91,100,3.08,JP,1718578935
123,burang,30.25,81.1667,6.310000000000002,68,47,1.14,CN,1718578935
124,rouyn-noranda,48.2398,-79.0288,19.05000000000001,48,100,4.63,CA,1718578784
125,constantia,44.1833,28.65,18.379999999999995,74,0,4.4,RO,1718578936
126,georgetown,5.4112,100.3354,25.970000000000027,83,20,1.54,MY,1718578773
127,andrychow,49.855,19.3383,15.120000000000005,94,55,2.17,PL,1718578936
128,hasaki,35.7333,140.8333,27.379999999999995,79,100,4.85,JP,1718578936
129,tazovsky,67.4667,78.7,3.1299999999999955,80,61,1.3,RU,1718578937
130,armacao de buzios,-22.7469,-41.8817,25.03000000000003,80,1,10.1,BR,1718578802
131,tura,25.5198,90.2201,24.129999999999995,97,90,2.9,IN,1718578938
132,nuuk,64.1835,-51.7216,7.340000000000032,93,100,4.47,GL,1718578938
133,touros,-5.1989,-35.4608,23.600000000000023,89,33,5.44,BR,1718578939
134,alofi,-19.0595,-169.9187,27.939999999999998,74,75,5.66,NU,1718578939
135,yuktae-dong,40.0247,128.1597,20.510000000000048,67,0,4.31,KP,1718578939
136,kuhdasht,33.535,47.6061,24.74000000000001,24,1,2.53,IR,1718578940
137,posto fiscal rolim de moura,-13.0833,-62.2667,27.720000000000027,46,10,1.97,BR,1718578940
138,cockburn town,21.4612,-71.1419,29.980000000000018,79,75,3.09,TC,1718578940
139,fada,9.5667,8.3,19.360000000000014,95,71,1.11,NG,1718578941
140,xilin hot,43.9667,116.0333,22.710000000000036,26,7,2.91,CN,1718578941
141,las terrenas,19.311,-69.5428,28.79000000000002,75,100,3.21,DO,1718578941
142,okha,53.5739,142.9478,4.580000000000041,98,100,6.71,RU,1718578942
